year,avg_temp,anomaly
1995,61.0,undefined
1996,61.9,undefined
1997,60.5,undefined
1998,59.3,undefined
1999,60.8,undefined
2000,61.7,undefined
2001,61.2,undefined
2002,61.2,undefined
2003,61.9,undefined
2004,60.4,undefined
2005,61.1,undefined
2006,61.1,undefined
2007,61.6,undefined
2008,60.6,undefined
2009,61.1,undefined
2010,60.4,undefined
2011,60.3,undefined
2012,62.1,undefined
2013,60.5,undefined
2014,62.3,undefined
2015,61.8,undefined
2016,62.2,undefined
2017,63.0,undefined
2018,62.3,undefined
2019,60.3,undefined
2020,62.6,undefined
2021,62.1,undefined
